0,Hi
1,hey there 
2,ready for bingo night?
3,I need to go home and practice
4,And then I will be
5,yes there is a lot of strategy involved 
6,i should practice too 
7,Esp if there’s old people
8,We’ll really need to strategize
9,They’re ruthless
10,i know 
11,when do you wanna strategize 
12,Maybe I can volunteer to be the person who calls the numbers and I’ll just call everything on your board
13,yes
14,free unlimited money 👀
15,we can be a good team 
16,I think so too
17,I mean do you know all the goldfish we can buy w that money?
18,we could buy goldfish 
19,like pepperidge farm 
20,the company
21,That’s such a dream come true
22,Then all that free food forever
23,right?
24,we can just give it out for free too 
25,We’d be such good people
26,i know 
27,you’re already a good person though 
28,I am? 😮
29,yeah! 
30,you seem really really nice
31,Keep talking 🥲
32,what is the emoji i haven’t updated my phone!! 
33,>:(
34,1 ATTACHMENTS
35,thats a cute emoji 
36,for a second I was like was it really an angry face??
37,just realized on my laptop it showed up lol 
38,i didn’t even need to ask🤥
39,So you’re telling me I did all that work for nothing
40,It was exhausting
41,i’m very sorry 🥺
42,will you ever forgive me
43,If you update your phone
44,Nerd
45,if i update my phone this conversation will have to wait!!
46,oooooo
47,Fair point
48,dw i just did 
49,i can see your emoji now
50,teaching people at 8 am on mondays is very discouraging
51,🥲
52,Dont be discouraged
53,What are you teaching people
54,it’s a boring required class for their majors 😂
55,they are all sleepy and don’t pay attention
56,it’s called low level programming lol
57,Aw are u like the ta?
58,haha yes i’m a ta
59,i always make little jokes and i never get any reactions :( 
60,No way
61,Send me the link I’ll be your hypeman 
62,youd attend my 8 am class to hype me up??
63,I mean absolutely
64,I was just feeling like I had a low level programming hole in my heart
65,you won’t regret this 
66,question do you know who cody ko is 
67,I do know who cody ko is
68,My school is actually having him on a zoom on wednesday LMAO
69,I KNOW 
70,my sister goes there 
71,and i want in on it but my sister is being mean ab it 
72,Ohhhh I see what this is
73,You matched w me bc I go to tcnj
74,Swooned me just enough to get me to send u the link
75,You sure had me fooled
76,nooooo no no
77,it was an added bonus for sure
78,but you’re saying i swooned you 👀
79,Oops
80,I said too much
